Date,Daily Max 1-hour NO2 Concentration
2/1/2024,25.1
2/2/2024,24.5
2/3/2024,7.8
2/4/2024,5.5
2/5/2024,6.3
2/6/2024,25.9
2/7/2024,38.5
2/8/2024,35
2/9/2024,35.7
2/10/2024,31.4
2/11/2024,23.7
2/12/2024,20.9
2/13/2024,12.2
2/14/2024,15.5
2/15/2024,14.4
2/16/2024,25.4
2/17/2024,21
2/18/2024,6.9
2/19/2024,8.6
2/20/2024,22.4
2/21/2024,18.3
2/22/2024,13.8
2/23/2024,14.9
2/24/2024,6.5
2/25/2024,24.1
2/26/2024,28.8
2/27/2024,29.3
2/28/2024,3.7
2/29/2024,3.4
3/1/2024,18.9
3/2/2024,19.3
3/3/2024,10.2
3/4/2024,12.8
3/5/2024,6.8
3/6/2024,16.8
3/7/2024,2.6
3/8/2024,29
3/9/2024,28.1
3/10/2024,3.3
3/11/2024,2.7
3/12/2024,17.8
3/13/2024,14.2
3/14/2024,10.7
3/15/2024,7.4
3/16/2024,18.2
3/17/2024,8.4
3/18/2024,9.1
3/19/2024,10.4
3/20/2024,15.2
3/21/2024,3.2
3/22/2024,8.4
3/23/2024,3.9
3/24/2024,16.1
3/25/2024,10.3
3/26/2024,6.1
3/27/2024,20.1
3/28/2024,19.2
3/29/2024,4.8
3/30/2024,9.7
3/31/2024,29.4
4/1/2024,29.9
4/2/2024,11.1
4/3/2024,10.8
4/4/2024,4.2
4/5/2024,6.3
4/6/2024,3.2
4/7/2024,32.7
4/8/2024,30.2
4/9/2024,34.8
4/10/2024,19.5
4/11/2024,11.3
4/12/2024,3.2
4/13/2024,2.2
4/14/2024,4.8
4/15/2024,21.1
4/16/2024,14.9
4/17/2024,7.4
4/18/2024,7.2
4/19/2024,10.3
4/20/2024,8.9
4/21/2024,9.2
4/22/2024,24.8
4/23/2024,27.5
4/24/2024,6.7
4/25/2024,18.6
4/26/2024,27.3
4/27/2024,35.9
4/28/2024,12.7
4/29/2024,10.6
4/30/2024,6.5
5/1/2024,12.3
5/2/2024,11.9
5/3/2024,20
5/4/2024,7.1
5/5/2024,4.5
5/6/2024,15
5/7/2024,16.5
5/8/2024,15
5/9/2024,9.1
5/10/2024,19.7
5/11/2024,17.7
5/12/2024,11.4
5/13/2024,14.9
5/14/2024,7.1
5/15/2024,21.2
5/16/2024,11.5
5/17/2024,11.5
5/18/2024,7.2
5/19/2024,3.9
5/20/2024,9.2
5/21/2024,11.1
5/22/2024,19.9
5/23/2024,16.3
5/24/2024,20.8
5/25/2024,11.9
5/26/2024,7
5/27/2024,3.7
5/28/2024,9.7
5/29/2024,7.9
5/30/2024,15.2
5/31/2024,9.7
6/1/2024,14.9
6/2/2024,13.2
6/3/2024,10.1
6/4/2024,12.1
6/5/2024,15.5
6/6/2024,18
6/7/2024,5.5
6/8/2024,6.3
6/9/2024,7.4
6/10/2024,4.9
6/11/2024,10.9
6/12/2024,11.4
6/13/2024,12.6
6/14/2024,7.2
6/15/2024,3.3
6/16/2024,4.7
6/17/2024,9.7
6/18/2024,14.7
6/19/2024,20.5
6/20/2024,11.5
6/21/2024,9.4
6/22/2024,4.3
6/23/2024,9.9
6/24/2024,6.2
6/25/2024,9.3
6/26/2024,22.6
6/27/2024,6.6
6/28/2024,3.2
6/29/2024,3.6
6/30/2024,7.3
7/1/2024,7.2
7/2/2024,11.4
7/3/2024,9
7/4/2024,15.1
7/5/2024,11.4
7/6/2024,11.6
7/7/2024,11.3
7/8/2024,14.6
7/9/2024,17.2
7/10/2024,14.2
7/11/2024,25.7
7/12/2024,18.2
7/13/2024,13
7/14/2024,18.4
7/15/2024,15.5
7/16/2024,6.8
7/17/2024,9.3
7/18/2024,10.3
7/19/2024,7.4
7/20/2024,10.1
