Date,Daily Max 1hour NO2 Concentration
2/1/2024,23.2
2/2/2024,15.6
2/3/2024,6.2
2/4/2024,6.4
2/5/2024,15.5
2/6/2024,16.3
2/7/2024,17.8
2/8/2024,18
2/9/2024,13.4
2/10/2024,1.3
2/11/2024,12.2
2/12/2024,25.9
2/13/2024,27.4
2/15/2024,14.9
2/16/2024,8
2/17/2024,9.6
2/18/2024,16.1
2/19/2024,25.6
2/20/2024,15
2/21/2024,18.5
2/22/2024,21.4
2/23/2024,21.8
2/24/2024,18.5
2/25/2024,12.3
2/26/2024,4.5
2/27/2024,1.1
2/28/2024,11.9
2/29/2024,26.9
3/1/2024,2.3
3/2/2024,5.2
3/3/2024,3.6
3/4/2024,10.8
3/5/2024,17.2
3/6/2024,10.3
3/7/2024,3.4
3/8/2024,5.3
3/9/2024,22.5
3/10/2024,19.2
3/11/2024,23.2
3/12/2024,18.2
3/13/2024,22.6
3/14/2024,2.4
3/15/2024,3.1
3/16/2024,4.1
3/17/2024,2.6
3/18/2024,21.8
3/19/2024,24.1
3/20/2024,27.4
3/21/2024,21.4
3/22/2024,22.9
3/23/2024,0.9
3/24/2024,1.3
3/25/2024,11.8
3/26/2024,10.8
3/27/2024,12.9
3/28/2024,5.6
3/29/2024,11.7
3/30/2024,1.8
3/31/2024,4.4
4/1/2024,8.8
4/2/2024,19.5
4/3/2024,24.1
4/4/2024,11.6
4/5/2024,8.6
4/6/2024,4
4/7/2024,6.7
4/8/2024,8.7
4/9/2024,34.1
4/10/2024,23.3
4/11/2024,21.6
4/12/2024,21.8
4/13/2024,2.5
4/14/2024,0.7
4/15/2024,1
4/16/2024,18.1
4/17/2024,6.9
4/18/2024,1.4
4/19/2024,17.2
4/20/2024,9.9
4/21/2024,4.8
4/22/2024,14
4/23/2024,12.2
4/24/2024,17.6
4/25/2024,3.8
4/26/2024,0.1
4/27/2024,1.7
4/28/2024,2
4/29/2024,17.4
4/30/2024,4.1
5/1/2024,5.8
5/2/2024,21.7
5/3/2024,0.6
5/4/2024,7.9
5/5/2024,3.5
5/6/2024,1.6
5/7/2024,3.3
5/8/2024,3.7
5/9/2024,1.7
5/10/2024,5.8
5/11/2024,14.9
5/12/2024,5.7
5/13/2024,18.8
5/14/2024,15.4
5/15/2024,0.5
5/16/2024,17.2
5/17/2024,11.6
5/18/2024,7.9
5/19/2024,3.1
5/20/2024,19.1
5/21/2024,4.2
5/22/2024,13.4
5/23/2024,1.8
5/24/2024,11.6
5/25/2024,4.5
5/26/2024,0.1
5/27/2024,3.8
5/28/2024,15.6
5/29/2024,10.7
5/30/2024,11.5
5/31/2024,20.9
6/1/2024,2.4
6/2/2024,2.6
6/3/2024,14.9
6/4/2024,10.1
6/5/2024,12.7
6/6/2024,7.9
6/7/2024,2.6
6/8/2024,1
6/9/2024,10.9
6/10/2024,0.2
6/11/2024,11.7
6/12/2024,11.6
6/13/2024,8.2
6/14/2024,2.3
6/15/2024,4.4
6/16/2024,1.5
6/17/2024,12.5
6/18/2024,6
6/19/2024,4
6/20/2024,6.5
6/21/2024,15.4
6/22/2024,5.6
6/23/2024,4.1
6/24/2024,14.3
6/25/2024,18.4
6/26/2024,2.2
6/27/2024,12.5
6/28/2024,17
6/29/2024,9
6/30/2024,13.7
7/1/2024,1
7/2/2024,9.9
7/3/2024,15.7
7/4/2024,5.7
7/5/2024,7.6
7/6/2024,5.2
7/7/2024,0.3
7/8/2024,9.4
7/9/2024,18.8
7/10/2024,16.5
7/11/2024,21.9
7/12/2024,19.7
7/13/2024,10.1
7/14/2024,0.1
7/15/2024,19.9
7/16/2024,18.5
7/17/2024,10.8
7/18/2024,17
7/19/2024,20.1
7/20/2024,6.8
7/21/2024,0.1
7/22/2024,6.1
7/23/2024,14
7/24/2024,18.1
7/25/2024,4.6
7/26/2024,13.8
7/27/2024,2.1
7/28/2024,2.6
7/29/2024,19.1
7/30/2024,19
7/31/2024,6.6
8/1/2024,14.6
8/2/2024,17.8
8/3/2024,7.9
8/4/2024,12
8/5/2024,8.1
8/6/2024,6.3
8/7/2024,4.6
8/8/2024,16.4
8/9/2024,18.5
8/10/2024,2.9
8/11/2024,12.9
8/12/2024,4.9
8/13/2024,8.7
8/14/2024,8
8/15/2024,17.5
8/16/2024,20.3
8/17/2024,9.2
8/18/2024,1.4
8/27/2024,11.7
8/28/2024,18.3
